            ID                         MFD value             Atomic Hits Map value                        Difference              Diff (MFD - MUTEXED)     Diff (ATOM_HIT_MAP - MUTEXED)



Type = EnergyDeposit

            40              1855712.144477754366              1855712.144477754133                    2.32830644e-10                    2.32830644e-10                               0.0    
            41              3092064.262207205873              3092064.262207205873                               0.0                               0.0                               0.0    
            42              4287145.709462109022              4287145.709462109022                               0.0                               0.0                               0.0    
            43              4997865.299776642583              4997865.299776642583                               0.0                               0.0                               0.0    
            44              1032697.497780891019              1032697.497780891019                               0.0                               0.0                               0.0    
            45               592078.409100549296               592078.409100549296                               0.0                               0.0                               0.0    
            46               234615.069425009249               234615.069425009249                               0.0                               0.0                               0.0    
            47              1260594.058652844746              1260594.058652844746                               0.0                               0.0                               0.0    
            48               442979.453933668963               442979.453933668905                    5.82076609e-11                    5.82076609e-11                               0.0    
            49               241927.303411067784               241927.303411067784                               0.0                               0.0                               0.0    
            50               776088.039520443999               776088.039520443999                               0.0                               0.0                               0.0    
            51              5847915.863113574684              5847915.863113574684                               0.0                               0.0                               0.0    
            52              8213458.175347499549              8213458.175347499549                               0.0                               0.0                               0.0    
            53              6678425.552828111686              6678425.552828113548                    1.86264515e-09                    1.86264515e-09                               0.0    
            54               212090.055684823194               212090.055684823164                    2.91038305e-11                    2.91038305e-11                               0.0    
            55              3848076.571330165491              3848076.571330165491                               0.0                               0.0                               0.0    
            56             23937022.951958544552             23937022.951958537102                    7.45058060e-09                    7.45058060e-09                               0.0    
            57             29092513.473916254938             29092513.473916254938                               0.0                               0.0                               0.0    
            58             14230069.212128425017             14230069.212128430605                    5.58793545e-09                    5.58793545e-09                               0.0    
            59              6926407.337945446372              6926407.337945446372                               0.0                               0.0                               0.0    
            60              3695423.534882838372              3695423.534882837441                    9.31322575e-10                    9.31322575e-10                               0.0    
            61             25851841.305808607489             25851841.305808603764                    3.72529030e-09                    3.72529030e-09                               0.0    
            62             16768500.886809606105             16768500.886809606105                               0.0                               0.0                               0.0    
            63             16796078.493103872985             16796078.493103880435                    7.45058060e-09                    7.45058060e-09                               0.0    
            64              2721538.141197071876              2721538.141197071411                    4.65661287e-10                    4.65661287e-10                               0.0    
            65              8638377.219663755968              8638377.219663755968                               0.0                               0.0                               0.0    
            66             12731340.335254725069             12731340.335254726931                    1.86264515e-09                    1.86264515e-09                               0.0    
            67             21620426.827402278781             21620426.827402278781                               0.0                               0.0                               0.0    
            68             18713234.429233271629             18713234.429233271629                               0.0                               0.0                               0.0    
            69              6663660.985533775762              6663660.985533776693                    9.31322575e-10                    9.31322575e-10                               0.0    
            70              2858609.237165970728              2858609.237165970728                               0.0                               0.0                               0.0    
            71              5820540.838669061661              5820540.838669060729                    9.31322575e-10                    9.31322575e-10                               0.0    
            72              3640483.324087483343              3640483.324087483343                               0.0                               0.0                               0.0    
            73              2847590.272183223162              2847590.272183222231                    9.31322575e-10                    9.31322575e-10                               0.0    
            74              4153448.071928145364              4153448.071928145364                               0.0                               0.0                               0.0    
            75             15654367.986119080335             15654367.986119074747                    5.58793545e-09                    5.58793545e-09                               0.0    
            76             31893140.527610406280             31893140.527610421181                    1.49011612e-08                    1.49011612e-08                               0.0    
            77             38848188.535743519664             38848188.535743527114                    7.45058060e-09                    7.45058060e-09                               0.0    
            78             24909158.581687588245             24909158.581687595695                    7.45058060e-09                    7.45058060e-09                               0.0    
            79             19649943.956191912293             19649943.956191916019                    3.72529030e-09                    3.72529030e-09                               0.0    
            80             32266267.247103296220             32266267.247103296220                               0.0                               0.0                               0.0    
            81            437779613.742297649384            437779613.742297708988                    5.96046448e-08                    5.96046448e-08                               0.0    
            82            391133575.994027316570            391133575.994027197361                    1.19209290e-07                    1.19209290e-07                               0.0    
            83            497598526.011614441872            497598526.011614680290                    2.38418579e-07                    2.38418579e-07                               0.0    
            84             29027707.964750334620             29027707.964750356972                    2.23517418e-08                    2.23517418e-08                               0.0    
            85             26183232.117494713515             26183232.117494706064                    7.45058060e-09                    7.45058060e-09                               0.0    
            86            388810020.360335111618            388810020.360335171223                    5.96046448e-08                    5.96046448e-08                               0.0    
            87            338550269.405763685703            338550269.405763804913                    1.19209290e-07                    1.19209290e-07                               0.0    
            88            343080557.357303977013            343080557.357303857803                    1.19209290e-07                    1.19209290e-07                               0.0    
            89             25334833.226524412632             25334833.226524423808                    1.11758709e-08                    1.11758709e-08                               0.0    
            90             25310414.119968291372             25310414.119968283921                    7.45058060e-09                    7.45058060e-09                               0.0    
            91            501329684.116544365883            501329684.116544306278                    5.96046448e-08                    5.96046448e-08                               0.0    
            92            385455520.052781999111            385455520.052781999111                               0.0                               0.0                               0.0    
            93            487319283.255791127682            487319283.255790948868                    1.78813934e-07                    1.78813934e-07                               0.0    
            94             22741665.107201553881             22741665.107201546431                    7.45058060e-09                    7.45058060e-09                               0.0    
            95             25762170.264712054282             25762170.264712061733                    7.45058060e-09                    7.45058060e-09                               0.0    
            96             24716370.526339642704             24716370.526339638978                    3.72529030e-09                    3.72529030e-09                               0.0    
            97             20108774.990166492760             20108774.990166500211                    7.45058060e-09                    7.45058060e-09                               0.0    
            98             22252017.148528274149             22252017.148528270423                    3.72529030e-09                    3.72529030e-09                               0.0    
            99             16360394.547505198047             16360394.547505198047                               0.0                               0.0                               0.0    
           100            297716850.241076469421            297716850.241076231003                    2.38418579e-07                    2.38418579e-07                               0.0    
           101            367518780.549616932869            367518780.549617171288                    2.38418579e-07                    2.38418579e-07                               0.0    
           102            363373994.585888803005            363373994.585888743401                    5.96046448e-08                    5.96046448e-08                               0.0    
           103            344413537.320109903812            344413537.320110023022                    1.19209290e-07                    1.19209290e-07                               0.0    
           104            325310842.053874135017            325310842.053874075413                    5.96046448e-08                    5.96046448e-08                               0.0    
           105            342322746.716304361820            342322746.716304481030                    1.19209290e-07                    1.19209290e-07                               0.0    
           106            375895722.518228292465            375895722.518227994442                    2.98023224e-07                    2.98023224e-07                               0.0    
           107            395330723.365669548512            395330723.365669488907                    5.96046448e-08                    5.96046448e-08                               0.0    
           108            365810884.108702421188            365810884.108702123165                    2.98023224e-07                    2.98023224e-07                               0.0    
           109            363288904.118066370487            363288904.118066370487                               0.0                               0.0                               0.0    
           110            335705442.488799929619            335705442.488799870014                    5.96046448e-08                    5.96046448e-08                               0.0    
           111            398013827.780058205128            398013827.780058026314                    1.78813934e-07                    1.78813934e-07                               0.0    
           112            380983997.427990317345            380983997.427989900112                    4.17232513e-07                    4.17232513e-07                               0.0    
           113            362311659.082520604134            362311659.082520842552                    2.38418579e-07                    2.38418579e-07                               0.0    
           114            339033125.098427534103            339033125.098427772522                    2.38418579e-07                    2.38418579e-07                               0.0    
           115            317948009.447411894798            317948009.447412073612                    1.78813934e-07                    1.78813934e-07                               0.0    
           116            376737319.808694481850            376737319.808694303036                    1.78813934e-07                    1.78813934e-07                               0.0    
           117            395481935.499327480793            395481935.499327778816                    2.98023224e-07                    2.98023224e-07                               0.0    
           118            419107640.994883418083            419107640.994882941246                    4.76837158e-07                    4.76837158e-07                               0.0    
           119            338354619.459969282150            338354619.459969460964                    1.78813934e-07                    1.78813934e-07                               0.0    
           120            301261123.641463220119            301261123.641463458538                    2.38418579e-07                    2.38418579e-07                               0.0    
           121            363497055.768949985504            363497055.768949866295                    1.19209290e-07                    1.19209290e-07                               0.0    
           122            358504975.112174451351            358504975.112174570560                    1.19209290e-07                    1.19209290e-07                               0.0    
           123            332570719.810500621796            332570719.810500383377                    2.38418579e-07                    2.38418579e-07                               0.0    
           124            326075307.820413410664            326075307.820413410664                               0.0                               0.0                               0.0    


Type = NumberOfSteps

             0                 8000.000000000000                 8000.000000000000                               0.0                               0.0                               0.0    
             1                18000.000000000000                18000.000000000000                               0.0                               0.0                               0.0    
             2                46000.000000000000                46000.000000000000                               0.0                               0.0                               0.0    
             3                 4000.000000000000                 4000.000000000000                               0.0                               0.0                               0.0    
             4                12000.000000000000                12000.000000000000                               0.0                               0.0                               0.0    
             5                56000.000000000000                56000.000000000000                               0.0                               0.0                               0.0    
             6                28000.000000000000                28000.000000000000                               0.0                               0.0                               0.0    
             7                55000.000000000000                55000.000000000000                               0.0                               0.0                               0.0    
             8                31000.000000000000                31000.000000000000                               0.0                               0.0                               0.0    
             9                70000.000000000000                70000.000000000000                               0.0                               0.0                               0.0    
            10                43000.000000000000                43000.000000000000                               0.0                               0.0                               0.0    
            11                13000.000000000000                13000.000000000000                               0.0                               0.0                               0.0    
            12                47000.000000000000                47000.000000000000                               0.0                               0.0                               0.0    
            13                42000.000000000000                42000.000000000000                               0.0                               0.0                               0.0    
            14               104000.000000000000               104000.000000000000                               0.0                               0.0                               0.0    
            15                36000.000000000000                36000.000000000000                               0.0                               0.0                               0.0    
            16                48000.000000000000                48000.000000000000                               0.0                               0.0                               0.0    
            17                33000.000000000000                33000.000000000000                               0.0                               0.0                               0.0    
            18                 7000.000000000000                 7000.000000000000                               0.0                               0.0                               0.0    
            19                60000.000000000000                60000.000000000000                               0.0                               0.0                               0.0    
            20                65000.000000000000                65000.000000000000                               0.0                               0.0                               0.0    
            21                39000.000000000000                39000.000000000000                               0.0                               0.0                               0.0    
            22                39000.000000000000                39000.000000000000                               0.0                               0.0                               0.0    
            23                47000.000000000000                47000.000000000000                               0.0                               0.0                               0.0    
            24                23000.000000000000                23000.000000000000                               0.0                               0.0                               0.0    
            25               157000.000000000000               157000.000000000000                               0.0                               0.0                               0.0    
            26               250000.000000000000               250000.000000000000                               0.0                               0.0                               0.0    
            27               175000.000000000000               175000.000000000000                               0.0                               0.0                               0.0    
            28               120000.000000000000               120000.000000000000                               0.0                               0.0                               0.0    
