! 9Be range in Si
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
0.001000	0.0670433 	0.001000	0.0670433 	0.001000	0.0542337 	0.001000	0.0542337 	0.001000	0.0542499 	0.001000	0         	0.001000	0         	0.001000	0.000788375	0.001000	0.00126685	0.001000	0.000589833	
0.002000	0.136328  	0.002000	0.134087  	0.002000	0.108467  	0.002000	0.108467  	0.002000	0.1085    	0.002000	0.00752906	0.002000	0.00752906	0.002000	0.00230873	0.002000	0.00358402	0.002000	0.001797  	
0.005000	0.313777  	0.005000	0.305796  	0.005000	0.245498  	0.005000	0.245498  	0.005000	0.24555   	0.005000	0.00888161	0.005000	0.00888161	0.005000	0.00810929	0.005000	0.0121629 	0.005000	0.00653327	
0.008000	0.466098  	0.008000	0.453191  	0.008000	0.362615  	0.008000	0.362615  	0.008000	0.362676  	0.008000	0.00893761	0.008000	0.00893761	0.008000	0.0148013 	0.008000	0.0218224 	0.008000	0.0121112 	
0.010000	0.558778  	0.010000	0.542872  	0.010000	0.433922  	0.010000	0.433922  	0.010000	0.433986  	0.010000	0.00913434	0.010000	0.00913434	0.010000	0.0195268 	0.010000	0.0285625 	0.010000	0.0160872 	
0.015000	0.768662  	0.015000	0.745967  	0.015000	0.596009  	0.015000	0.596009  	0.015000	0.596079  	0.015000	0.0101487 	0.015000	0.0101487 	0.015000	0.0318658 	0.015000	0.0459708 	0.015000	0.0265546 	
0.020000	0.94244   	0.020000	0.914124  	0.020000	0.735294  	0.020000	0.735294  	0.020000	0.735366  	0.020000	0.0113433 	0.020000	0.0113433 	0.020000	0.0440045 	0.020000	0.0629634 	0.020000	0.0369106 	
0.025000	1.08693   	0.025000	1.05394   	0.025000	0.85587   	0.025000	0.85587   	0.025000	0.855944  	0.025000	0.0124041 	0.025000	0.0124041 	0.025000	0.0555328 	0.025000	0.079033  	0.025000	0.0467756 	
0.030000	1.21105   	0.030000	1.17405   	0.030000	0.963216  	0.030000	0.963216  	0.030000	0.963291  	0.030000	0.013316  	0.030000	0.013316  	0.030000	0.0665493 	0.030000	0.0943317 	0.030000	0.0562278 	
0.035000	1.32063   	0.035000	1.28008   	0.035000	1.06115   	0.035000	1.06115   	0.035000	1.06123   	0.035000	0.0141123 	0.035000	0.0141123 	0.035000	0.0771962 	0.035000	0.109064  	0.035000	0.0653861 	
0.040000	1.41944   	0.040000	1.37569   	0.040000	1.15177   	0.040000	1.15177   	0.040000	1.15184   	0.040000	0.0148137 	0.040000	0.0148137 	0.040000	0.0875336 	0.040000	0.123323  	0.040000	0.0742975 	
0.045000	1.51011   	0.045000	1.46343   	0.045000	1.23659   	0.045000	1.23659   	0.045000	1.23666   	0.045000	0.0154397 	0.045000	0.0154397 	0.045000	0.0976213 	0.045000	0.137197  	0.045000	0.0830109 	
