! 10Be range in Si
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
0.001000	0.0744944 	0.001000	0.0744944 	0.001000	0.0602611 	0.001000	0.0602611 	0.001000	0.0602791 	0.001000	0         	0.001000	0         	0.001000	0.000928277	0.001000	0.00148384	0.001000	0.000698943	
0.002000	0.151479  	0.002000	0.148989  	0.002000	0.120522  	0.002000	0.120522  	0.002000	0.120558  	0.002000	0.00793642	0.002000	0.00793642	0.002000	0.00271846	0.002000	0.00419801	0.002000	0.00212768	
0.005000	0.34865   	0.005000	0.339782  	0.005000	0.272782  	0.005000	0.272782  	0.005000	0.27284   	0.005000	0.00936215	0.005000	0.00936215	0.005000	0.00954877	0.005000	0.0142475 	0.005000	0.00773013	
0.008000	0.5179    	0.008000	0.503557  	0.008000	0.402915  	0.008000	0.402915  	0.008000	0.402983  	0.008000	0.00942118	0.008000	0.00942118	0.008000	0.0174292 	0.008000	0.0255639 	0.008000	0.0143256 	
0.010000	0.620879  	0.010000	0.603206  	0.010000	0.482147  	0.010000	0.482147  	0.010000	0.482218  	0.010000	0.00962856	0.010000	0.00962856	0.010000	0.0229942 	0.010000	0.0334608 	0.010000	0.0190261 	
0.015000	0.854089  	0.015000	0.828873  	0.015000	0.662249  	0.015000	0.662249  	0.015000	0.662326  	0.015000	0.0106979 	0.015000	0.0106979 	0.015000	0.0375258 	0.015000	0.0538588 	0.015000	0.0313991 	
0.020000	1.04718   	0.020000	1.01572   	0.020000	0.817013  	0.020000	0.817013  	0.020000	0.817094  	0.020000	0.011957  	0.020000	0.011957  	0.020000	0.0518226 	0.020000	0.073772  	0.020000	0.0436395 	
0.025000	1.20773   	0.025000	1.17108   	0.025000	0.950989  	0.025000	0.950989  	0.025000	0.951072  	0.025000	0.0130752 	0.025000	0.0130752 	0.025000	0.0654012 	0.025000	0.0926055 	0.025000	0.0552995 	
0.030000	1.34565   	0.030000	1.30453   	0.030000	1.07027   	0.030000	1.07027   	0.030000	1.07035   	0.030000	0.0140364 	0.030000	0.0140364 	0.030000	0.0783777 	0.030000	0.110537  	0.030000	0.0664713 	
0.035000	1.4674    	0.035000	1.42234   	0.035000	1.17909   	0.035000	1.17909   	0.035000	1.17917   	0.035000	0.0148758 	0.035000	0.0148758 	0.035000	0.0909195 	0.035000	0.127806  	0.035000	0.0772955 	
0.040000	1.57719   	0.040000	1.52859   	0.040000	1.27977   	0.040000	1.27977   	0.040000	1.27986   	0.040000	0.0156152 	0.040000	0.0156152 	0.040000	0.103097  	0.040000	0.144522  	0.040000	0.0878278 	
0.045000	1.67794   	0.045000	1.62607   	0.045000	1.37402   	0.045000	1.37402   	0.045000	1.3741    	0.045000	0.0162751 	0.045000	0.0162751 	0.045000	0.114879  	0.045000	0.160648  	0.045000	0.0980375 	
0.050000	1.77175   	0.050000	1.71685   	0.050000	1.46308   	0.050000	1.46308   	0.050000	1.46316   	0.050000	0.0168721 	0.050000	0.016754  	0.050000	0.124661  	0.050000	0.173939  	0.050000	0.106529  	
0.055000	1.86026   	0.055000	1.8025    	0.055000	1.54791   	0.055000	1.54791   	0.055000	1.54799   	0.055000	0.0174194 	0.055000	0.0171255 	0.055000	0.133017  	0.055000	0.185046  	0.055000	0.113797  	
0.060000	1.94459   	0.060000	1.8841    	0.060000	1.62927   	0.060000	1.62927   	0.060000	1.62935   	0.060000	0.0179271 	0.060000	0.017469  	0.060000	0.140298  	0.060000	0.194623  	0.060000	0.120141  	
0.070000	2.1039    	0.070000	2.03826   	0.070000	1.78384   	0.070000	1.78384   	0.070000	1.78393   	0.070000	0.018854  	0.070000	0.0180954 	0.070000	0.152553  	0.070000	0.210466  	0.070000	0.130848  	
0.080000	2.25447   	0.080000	2.18395   	0.080000	1.93035   	0.080000	1.93035   	0.080000	1.93044   	0.080000	0.0196988 	0.080000	0.0186674 	0.080000	0.162759  	0.080000	0.223464  	0.080000	0.139795  	
0.090000	2.39934   	0.090000	2.32414   	0.090000	2.07121   	0.090000	2.07121   	0.090000	2.0713    	0.090000	0.020491  	0.090000	0.0192062 	0.090000	0.171617  	0.090000	0.234638  	0.090000	0.147586  	
0.100000	2.54051   	0.100000	2.46074   	0.100000	2.20811   	0.100000	2.20811   	0.100000	2.2082    	0.100000	0.0212504 	0.100000	0.0197255 	0.100000	0.179484  	0.100000	0.2445    	0.100000	0.154527  	
0.120000	2.81668   	0.120000	2.72798   	0.120000	2.47458   	0.120000	2.47458   	0.120000	2.47467   	0.120000	0.0227207 	0.120000	0.0207406 	0.120000	0.193195  	0.120000	0.261573  	0.120000	0.16668   	
0.140000	3.08936   	0.140000	2.99184   	0.140000	2.73612   	0.140000	2.73612   	0.140000	2.73621   	0.140000	0.0241767 	0.140000	0.0217588 	0.140000	0.205254  	0.140000	0.276458  	0.140000	0.177426  	
0.160000	3.36142   	0.160000	3.2551    	0.160000	2.99628   	0.160000	2.99628   	0.160000	2.99637   	0.160000	0.0256524 	0.160000	0.0228034 	0.160000	0.216289  	0.160000	0.289971  	0.160000	0.187304  	
0.180000	3.63229   	0.180000	3.51721   	0.180000	3.25705   	0.180000	3.25705   	0.180000	3.25714   	0.180000	0.0271644 	0.180000	0.0238858 	0.180000	0.226449  	0.180000	0.30235   	0.180000	0.196441  	
0.200000	3.90272   	0.200000	3.77889   	0.200000	3.51957   	0.200000	3.51957   	0.200000	3.51966   	0.200000	0.0287196 	0.200000	0.0250102 	0.200000	0.236193  	0.200000	0.314128  	0.200000	0.205231  	
0.250000	4.57973   	0.250000	4.43401   	0.250000	4.1869    	0.250000	4.1869    	0.250000	4.18699   	0.250000	0.0328008 	0.250000	0.0280039 	0.250000	0.258838  	0.250000	0.341221  	0.250000	0.225779  	
0.300000	5.26052   	0.300000	5.09278   	0.300000	4.87218   	0.300000	4.87218   	0.300000	4.87226   	0.300000	0.0371264 	0.300000	0.031225  	0.300000	0.28018   	0.300000	0.366329  	0.300000	0.245266  	
0.350000	5.94361   	0.350000	5.75377   	0.350000	5.57399   	0.350000	5.57399   	0.350000	5.57408   	0.350000	0.0416155 	0.350000	0.0346005 	0.350000	0.300458  	0.350000	0.389896  	0.350000	0.26388   	
0.400000	6.6308    	0.400000	6.41873   	0.400000	6.28796   	0.400000	6.28796   	0.400000	6.28804   	0.400000	0.0461615 	0.400000	0.0380379 	0.400000	0.319915  	0.400000	0.412205  	0.400000	0.281817  	
0.450000	7.32128   	0.450000	7.08687   	0.450000	7.01511   	0.450000	7.01511   	0.450000	7.0152    	0.450000	0.0507747 	0.450000	0.0415357 	0.450000	0.338933  	0.450000	0.433734  	0.450000	0.299404  	
0.500000	8.01933   	0.500000	7.76234   	0.500000	7.75637   	0.500000	7.75637   	0.500000	7.75645   	0.500000	0.0554671 	0.500000	0.045096  	0.500000	0.357462  	0.500000	0.454473  	0.500000	0.316601  	
0.600000	9.45107   	0.600000	9.14777   	0.600000	9.2862    	0.600000	9.2862    	0.600000	9.28629   	0.600000	0.0651684 	0.600000	0.0524453 	0.600000	0.393989  	0.600000	0.494905  	0.600000	0.35063   	
0.700000	10.9424   	0.700000	10.5909   	0.700000	10.8813   	0.700000	10.8813   	0.700000	10.8814   	0.700000	0.0753141 	0.700000	0.0600953 	0.700000	0.430055  	0.700000	0.534426  	0.700000	0.384373  	
0.800000	12.5054   	0.800000	12.1033   	0.800000	12.5422   	0.800000	12.5422   	0.800000	12.5423   	0.800000	0.0859089 	0.800000	0.0680324 	0.800000	0.46598   	0.800000	0.573503  	0.800000	0.418095  	
0.900000	14.1461   	0.900000	13.691    	0.900000	14.2696   	0.900000	14.2696   	0.900000	14.2697   	0.900000	0.0969614 	0.900000	0.0762514 	0.900000	0.501944  	0.900000	0.612414  	0.900000	0.451939  	
1.000000	15.8658   	1.000000	15.355    	1.000000	16.0639   	1.000000	16.0639   	1.000000	16.0639   	1.000000	0.108482  	1.000000	0.0847514 	1.000000	0.538099  	1.000000	0.65134   	1.000000	0.486037  	
1.250000	20.5236   	1.250000	19.8622   	1.250000	20.8543   	1.250000	20.8543   	1.250000	20.8544   	1.250000	0.139581  	1.250000	0.10763   	1.250000	0.630063  	1.250000	0.749771  	1.250000	0.573018  	
1.500000	25.7011   	1.500000	24.8722   	1.500000	26.0879   	1.500000	26.0879   	1.500000	26.088    	1.500000	0.174108  	1.500000	0.134036  	1.500000	0.725254  	1.500000	0.85093   	1.500000	0.663339  	
1.750000	31.3839   	1.750000	30.3712   	1.750000	31.7562   	1.750000	31.7562   	1.750000	31.7562   	1.750000	0.211935  	1.750000	0.163289  	1.750000	0.824255  	1.750000	0.955444  	1.750000	0.757483  	
