! 13C range in Si
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
0.250000	3.63471   	0.250000	3.52187   	0.250000	3.42154   	0.250000	3.42154   	0.250000	3.42153   	0.250000	0.0275965 	0.250000	0.0213923 	0.250000	0.211634  	0.250000	0.285821  	0.250000	0.184449  	
0.300000	4.18012   	0.300000	4.05009   	0.300000	3.94724   	0.300000	3.94724   	0.300000	3.94723   	0.300000	0.0307196 	0.300000	0.0233035 	0.300000	0.228103  	0.300000	0.305733  	0.300000	0.199457  	
0.350000	4.72111   	0.350000	4.57403   	0.350000	4.47961   	0.350000	4.47961   	0.350000	4.4796    	0.350000	0.033905  	0.350000	0.0253152 	0.350000	0.243561  	0.350000	0.324156  	0.350000	0.213618  	
0.400000	5.26171   	0.400000	5.09759   	0.400000	5.01872   	0.400000	5.01872   	0.400000	5.0187    	0.400000	0.0371314 	0.400000	0.0274015 	0.400000	0.258251  	0.400000	0.341453  	0.400000	0.227138  	
0.450000	5.80566   	0.450000	5.62441   	0.450000	5.56155   	0.450000	5.56155   	0.450000	5.56153   	0.450000	0.0403351 	0.450000	0.0295101 	0.450000	0.272317  	0.450000	0.357853  	0.450000	0.240132  	
0.500000	6.35354   	0.500000	6.15502   	0.500000	6.10745   	0.500000	6.10745   	0.500000	6.10743   	0.500000	0.0435036 	0.500000	0.0316234 	0.500000	0.285851  	0.500000	0.373491  	0.500000	0.252677  	
0.600000	7.45699   	0.600000	7.22369   	0.600000	7.21287   	0.600000	7.21287   	0.600000	7.21285   	0.600000	0.0498118 	0.600000	0.0358893 	0.600000	0.31187   	0.600000	0.403205  	0.600000	0.276893  	
0.700000	8.57771   	0.700000	8.30909   	0.700000	8.34264   	0.700000	8.34264   	0.700000	8.34262   	0.700000	0.0561842 	0.700000	0.0402485 	0.700000	0.336862  	0.700000	0.431404  	0.700000	0.300269  	
0.800000	9.72031   	0.800000	9.41568   	0.800000	9.50286   	0.800000	9.50286   	0.800000	9.50284   	0.800000	0.0627152 	0.800000	0.0447439 	0.800000	0.361263  	0.800000	0.458693  	0.800000	0.323181  	
0.900000	10.8899   	0.900000	10.5484   	0.900000	10.6955   	0.900000	10.6955   	0.900000	10.6954   	0.900000	0.0694296 	0.900000	0.0493784 	0.900000	0.38539   	0.900000	0.485465  	0.900000	0.345894  	
