! 10B range in Si
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
0.001000	0.0510497 	0.001000	0.0510497 	0.001000	0.0466146 	0.001000	0.0466146 	0.001000	0.0466221 	0.001000	0         	0.001000	0         	0.001000	0.000621865	0.001000	0.00100926	0.001000	0.000461994	
0.002000	0.103939  	0.002000	0.102099  	0.002000	0.0932292 	0.002000	0.0932292 	0.002000	0.0932442 	0.002000	0.00672904	0.002000	0.00672904	0.002000	0.00182108	0.002000	0.00285517	0.002000	0.00140923	
0.005000	0.241629  	0.005000	0.235     	0.005000	0.214676  	0.005000	0.214676  	0.005000	0.214701  	0.005000	0.00802267	0.005000	0.00802267	0.005000	0.00658108	0.005000	0.0099495 	0.005000	0.00528672	
0.008000	0.36106   	0.008000	0.350276  	0.008000	0.320548  	0.008000	0.320548  	0.008000	0.320577  	0.008000	0.00808112	0.008000	0.00808112	0.008000	0.0122178 	0.008000	0.0181439 	0.008000	0.00997807	
0.010000	0.434026  	0.010000	0.420703  	0.010000	0.385514  	0.010000	0.385514  	0.010000	0.385545  	0.010000	0.00828923	0.010000	0.00828923	0.010000	0.0162446 	0.010000	0.0239269 	0.010000	0.0133626 	
0.015000	0.599774  	0.015000	0.580686  	0.015000	0.534035  	0.015000	0.534035  	0.015000	0.534069  	0.015000	0.00936921	0.015000	0.00936921	0.015000	0.0268591 	0.015000	0.0390006 	0.015000	0.0223606 	
0.020000	0.737552  	0.020000	0.713672  	0.020000	0.661666  	0.020000	0.661666  	0.020000	0.661701  	0.020000	0.0106199 	0.020000	0.0106199 	0.020000	0.0373276 	0.020000	0.053753  	0.020000	0.0312851 	
0.025000	0.852606  	0.025000	0.824723  	0.025000	0.771701  	0.025000	0.771701  	0.025000	0.771737  	0.025000	0.0117053 	0.025000	0.0117053 	0.025000	0.0472373 	0.025000	0.0676628 	0.025000	0.0397575 	
0.030000	0.952074  	0.030000	0.920731  	0.030000	0.869218  	0.030000	0.869218  	0.030000	0.869254  	0.030000	0.0126203 	0.030000	0.0126203 	0.030000	0.0566658 	0.030000	0.0808513 	0.030000	0.0478389 	
0.035000	1.04042   	0.035000	1.00601   	0.035000	0.957782  	0.035000	0.957782  	0.035000	0.957818  	0.035000	0.0134058 	0.035000	0.0134058 	0.035000	0.0657347 	0.035000	0.0934941 	0.035000	0.0556307 	
