! 11C range in Si
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
0.001000	0.0457925 	0.001000	0.0457925 	0.001000	0.040057  	0.001000	0.040057  	0.001000	0.040055  	0.001000	0         	0.001000	0         	0.001000	0.000490424	0.001000	0.000803688	0.001000	0.000361585	
0.002000	0.0930752 	0.002000	0.0915851 	0.002000	0.080114  	0.002000	0.080114  	0.002000	0.08011   	0.002000	0.00584335	0.002000	0.00584335	0.002000	0.00143615	0.002000	0.00227356	0.002000	0.00110434	
0.005000	0.218537  	0.005000	0.213093  	0.005000	0.185416  	0.005000	0.185416  	0.005000	0.185409  	0.005000	0.00698788	0.005000	0.00698788	0.005000	0.00523402	0.005000	0.00798506	0.005000	0.00418527	
0.008000	0.328974  	0.008000	0.32005   	0.008000	0.277899  	0.008000	0.277899  	0.008000	0.277891  	0.008000	0.00704133	0.008000	0.00704133	0.008000	0.00977502	0.008000	0.0146442 	0.008000	0.00795223	
0.010000	0.396883  	0.010000	0.385818  	0.010000	0.334843  	0.010000	0.334843  	0.010000	0.334834  	0.010000	0.00723277	0.010000	0.00723277	0.010000	0.0130346 	0.010000	0.0193654 	0.010000	0.0106839 	
0.015000	0.551936  	0.015000	0.535985  	0.015000	0.465384  	0.015000	0.465384  	0.015000	0.465374  	0.015000	0.00823052	0.015000	0.00823052	0.015000	0.0216632 	0.015000	0.0317215 	0.015000	0.0179796 	
0.020000	0.681444  	0.020000	0.661412  	0.020000	0.577946  	0.020000	0.577946  	0.020000	0.577936  	0.020000	0.00938957	0.020000	0.00938957	0.020000	0.0302147 	0.020000	0.0438705 	0.020000	0.0252533 	
0.025000	0.789842  	0.025000	0.766394  	0.025000	0.67524   	0.025000	0.67524   	0.025000	0.675229  	0.025000	0.0103977 	0.025000	0.0103977 	0.025000	0.0383392 	0.025000	0.0553655 	0.025000	0.032185  	
0.030000	0.883626  	0.030000	0.857222  	0.030000	0.761613  	0.030000	0.761613  	0.030000	0.761602  	0.030000	0.0112484 	0.030000	0.0112484 	0.030000	0.0460885 	0.030000	0.0662903 	0.030000	0.0388141 	
0.035000	0.966867  	0.035000	0.93784   	0.035000	0.840153  	0.035000	0.840153  	0.035000	0.840142  	0.035000	0.0119794 	0.035000	0.0119794 	0.035000	0.0535561 	0.035000	0.0767817 	0.035000	0.0452184 	
