! 14C range in Si
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
0.001000	0.0582381 	0.001000	0.0582381 	0.001000	0.0509438 	0.001000	0.0509438 	0.001000	0.0509412 	0.001000	0         	0.001000	0         	0.001000	0.000711901	0.001000	0.00115272	0.001000	0.000532945	
0.002000	0.118371  	0.002000	0.116476  	0.002000	0.101888  	0.002000	0.101888  	0.002000	0.101882  	0.002000	0.00658974	0.002000	0.00658974	0.002000	0.00208476	0.002000	0.00326109	0.002000	0.0016245 	
0.005000	0.277931  	0.005000	0.271008  	0.005000	0.235808  	0.005000	0.235808  	0.005000	0.2358    	0.005000	0.00788046	0.005000	0.00788046	0.005000	0.00759834	0.005000	0.0114548 	0.005000	0.00614557	
0.008000	0.418383  	0.008000	0.407034  	0.008000	0.353427  	0.008000	0.353427  	0.008000	0.353416  	0.008000	0.00794074	0.008000	0.00794074	0.008000	0.0141914 	0.008000	0.0210098 	0.008000	0.0116679 	
0.010000	0.504748  	0.010000	0.490676  	0.010000	0.425847  	0.010000	0.425847  	0.010000	0.425836  	0.010000	0.00815663	0.010000	0.00815663	0.010000	0.0189244 	0.010000	0.027785  	0.010000	0.0156708 	
0.015000	0.701942  	0.015000	0.681656  	0.015000	0.591867  	0.015000	0.591867  	0.015000	0.591854  	0.015000	0.00928182	0.015000	0.00928182	0.015000	0.0314545 	0.015000	0.0455202 	0.015000	0.026358  	
0.020000	0.866648  	0.020000	0.841171  	0.020000	0.735021  	0.020000	0.735021  	0.020000	0.735008  	0.020000	0.0105889 	0.020000	0.0105889 	0.020000	0.0438742 	0.020000	0.0629623 	0.020000	0.0370109 	
0.025000	1.00451   	0.025000	0.974686  	0.025000	0.858758  	0.025000	0.858758  	0.025000	0.858744  	0.025000	0.0117258 	0.025000	0.0117258 	0.025000	0.0556754 	0.025000	0.0794689 	0.025000	0.0471623 	
0.030000	1.12378   	0.030000	1.0902    	0.030000	0.968605  	0.030000	0.968605  	0.030000	0.968591  	0.030000	0.0126852 	0.030000	0.0126852 	0.030000	0.0669326 	0.030000	0.0951594 	0.030000	0.0568701 	
0.035000	1.22964   	0.035000	1.19273   	0.035000	1.06849   	0.035000	1.06849   	0.035000	1.06848   	0.035000	0.0135095 	0.035000	0.0135095 	0.035000	0.0777816 	0.035000	0.11023   	0.035000	0.0662481 	
