! 11B range in Si
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
0.250000	3.77714   	0.250000	3.64771   	0.250000	3.61404   	0.250000	3.61404   	0.250000	3.61408   	0.250000	0.0295198 	0.250000	0.0239791 	0.250000	0.22848   	0.250000	0.305723  	0.250000	0.198995  	
0.300000	4.35765   	0.300000	4.20802   	0.300000	4.17607   	0.300000	4.17607   	0.300000	4.17611   	0.300000	0.0329708 	0.300000	0.0262923 	0.300000	0.246401  	0.300000	0.327174  	0.300000	0.215325  	
0.350000	4.93972   	0.350000	4.76984   	0.350000	4.74815   	0.350000	4.74815   	0.350000	4.74819   	0.350000	0.0365317 	0.350000	0.0287325 	0.350000	0.263377  	0.350000	0.347204  	0.350000	0.230871  	
0.400000	5.52346   	0.400000	5.33327   	0.400000	5.32709   	0.400000	5.32709   	0.400000	5.32713   	0.400000	0.040119  	0.400000	0.0312298 	0.400000	0.279607  	0.400000	0.366092  	0.400000	0.245796  	
0.450000	6.10543   	0.450000	5.895     	0.450000	5.91177   	0.450000	5.91177   	0.450000	5.91181   	0.450000	0.0437036 	0.450000	0.0337532 	0.450000	0.295064  	0.450000	0.383867  	0.450000	0.260072  	
0.500000	6.68853   	0.500000	6.45781   	0.500000	6.50344   	0.500000	6.50344   	0.500000	6.50348   	0.500000	0.0473043 	0.500000	0.0363075 	0.500000	0.310153  	0.500000	0.401039  	0.500000	0.274048  	
0.600000	7.85829   	0.600000	7.58688   	0.600000	7.71138   	0.600000	7.71138   	0.600000	7.71142   	0.600000	0.0546083 	0.600000	0.041525  	0.600000	0.339355  	0.600000	0.433908  	0.600000	0.301212  	
0.700000	9.04612   	0.700000	8.7334    	0.700000	8.95853   	0.700000	8.95853   	0.700000	8.95856   	0.700000	0.0621491 	0.700000	0.0469339 	0.700000	0.367804  	0.700000	0.465561  	0.700000	0.3278    	
0.800000	10.2759   	0.800000	9.92035   	0.800000	10.2477   	0.800000	10.2477   	0.800000	10.2478   	0.800000	0.0699631 	0.800000	0.0525412 	0.800000	0.39577   	0.800000	0.496441  	0.800000	0.354038  	
0.900000	11.5545   	0.900000	11.1545   	0.900000	11.5803   	0.900000	11.5803   	0.900000	11.5803   	0.900000	0.0780644 	0.900000	0.0583438 	0.900000	0.423574  	0.900000	0.526946  	0.900000	0.380191  	
1.000000	12.8839   	1.000000	12.4377   	1.000000	12.9571   	1.000000	12.9571   	1.000000	12.9571   	1.000000	0.086465  	1.000000	0.064341  	1.000000	0.451276  	1.000000	0.55719   	1.000000	0.406315  	
