! 7Be range in Si
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
0.250000	3.20892   	0.250000	3.10681   	0.250000	2.93367   	0.250000	2.93367   	0.250000	2.93373   	0.250000	0.0274564 	0.250000	0.0234411 	0.250000	0.188708  	0.250000	0.256028  	0.250000	0.163309  	
0.300000	3.68594   	0.300000	3.5684    	0.300000	3.41383   	0.300000	3.41383   	0.300000	3.41389   	0.300000	0.0310772 	0.300000	0.0261374 	0.300000	0.206103  	0.300000	0.277375  	0.300000	0.179033  	
0.350000	4.16456   	0.350000	4.03154   	0.350000	3.90558   	0.350000	3.90558   	0.350000	3.90564   	0.350000	0.0348349 	0.350000	0.0289629 	0.350000	0.222627  	0.350000	0.297425  	0.350000	0.194045  	
0.400000	4.64606   	0.400000	4.49747   	0.400000	4.40584   	0.400000	4.40584   	0.400000	4.4059    	0.400000	0.0386402 	0.400000	0.0318402 	0.400000	0.238469  	0.400000	0.316453  	0.400000	0.208495  	
0.450000	5.12987   	0.450000	4.96562   	0.450000	4.91534   	0.450000	4.91534   	0.450000	4.9154    	0.450000	0.0425018 	0.450000	0.0347681 	0.450000	0.253729  	0.450000	0.334631  	0.450000	0.22247   	
0.500000	5.61897   	0.500000	5.43891   	0.500000	5.43472   	0.500000	5.43472   	0.500000	5.43478   	0.500000	0.0464296 	0.500000	0.0377483 	0.500000	0.268708  	0.500000	0.352326  	0.500000	0.236226  	
0.600000	6.62216   	0.600000	6.40965   	0.600000	6.50665   	0.600000	6.50665   	0.600000	6.50671   	0.600000	0.0545502 	0.600000	0.0439001 	0.600000	0.297897  	0.600000	0.38648   	0.600000	0.26315   	
0.700000	7.66711   	0.700000	7.4208    	0.700000	7.62428   	0.700000	7.62428   	0.700000	7.62434   	0.700000	0.0630429 	0.700000	0.0503037 	0.700000	0.326642  	0.700000	0.419747  	0.700000	0.289782  	
0.800000	8.76225   	0.800000	8.48052   	0.800000	8.78809   	0.800000	8.78809   	0.800000	8.78815   	0.800000	0.0719114 	0.800000	0.0569476 	0.800000	0.355175  	0.800000	0.452486  	0.800000	0.316312  	
0.900000	9.9119    	0.900000	9.59297   	0.900000	9.99844   	0.900000	9.99844   	0.900000	9.99849   	0.900000	0.081163  	0.900000	0.0638274 	0.900000	0.383648  	0.900000	0.484939  	0.900000	0.342866  	
1.000000	11.1168   	1.000000	10.7589   	1.000000	11.2556   	1.000000	11.2556   	1.000000	11.2557   	1.000000	0.0908062 	1.000000	0.0709425 	1.000000	0.412255  	1.000000	0.517335  	1.000000	0.369609  	
1.250000	14.3805   	1.250000	13.917    	1.250000	14.6122   	1.250000	14.6122   	1.250000	14.6122   	1.250000	0.116838  	1.250000	0.0900931 	1.250000	0.484945  	1.250000	0.598937  	1.250000	0.437797  	
1.500000	18.0082   	1.500000	17.4274   	1.500000	18.2793   	1.500000	18.2793   	1.500000	18.2793   	1.500000	0.14574   	1.500000	0.112197  	1.500000	0.560183  	1.500000	0.682484  	1.500000	0.508647  	
1.750000	21.99     	1.750000	21.2804   	1.750000	22.2509   	1.750000	22.2509   	1.750000	22.2509   	1.750000	0.177404  	1.750000	0.136683  	1.750000	0.638341  	1.750000	0.7685    	1.750000	0.582467  	
2.000000	26.3269   	2.000000	25.477    	2.000000	26.5247   	2.000000	26.5247   	2.000000	26.5248   	2.000000	0.211831  	2.000000	0.163154  	2.000000	0.719727  	2.000000	0.85737   	2.000000	0.659517  	
2.250000	31.0352   	2.250000	30.033    	2.250000	31.1      	2.250000	31.1      	2.250000	31.1001   	2.250000	0.249051  	2.250000	0.191424  	2.250000	0.804591  	2.250000	0.949365  	2.250000	0.740013  	
2.500000	36.0965   	2.500000	34.9327   	2.500000	35.9763   	2.500000	35.9763   	2.500000	35.9764   	2.500000	0.289097  	2.500000	0.221395  	2.500000	0.893039  	2.500000	1.04466   	2.500000	0.82405   	
3.000000	46.8267   	3.000000	45.7121   	3.000000	46.6282   	3.000000	46.6282   	3.000000	46.6282   	3.000000	0.377732  	3.000000	0.286215  	3.000000	1.07599   	3.000000	1.24569   	3.000000	0.998315  	
3.500000	58.788    	3.500000	57.7421   	3.500000	58.4712   	3.500000	58.4712   	3.500000	58.4712   	3.500000	0.477794  	3.500000	0.357345  	3.500000	1.25759   	3.500000	1.45657   	3.500000	1.17187   	
4.000000	71.961    	4.000000	70.978    	4.000000	71.4932   	4.000000	71.4932   	4.000000	71.4932   	4.000000	0.589237  	4.000000	0.434608  	4.000000	1.45611   	4.000000	1.66582   	4.000000	1.36178   	
4.500000	86.3274   	4.500000	85.3885   	4.500000	85.6791   	4.500000	85.6791   	4.500000	85.6791   	4.500000	0.711931  	4.500000	0.517785  	4.500000	1.67122   	4.500000	1.89087   	4.500000	1.56778   	
5.000000	101.87    	5.000000	100.949   	5.000000	101.013   	5.000000	101.013   	5.000000	101.013   	5.000000	0.845703  	5.000000	0.606676  	5.000000	1.90263   	5.000000	2.13122   	5.000000	1.78961   	
5.500000	118.573   	5.500000	117.638   	5.500000	117.477   	5.500000	117.477   	5.500000	117.477   	5.500000	0.990368  	5.500000	0.701115  	5.500000	2.14998   	5.500000	2.3864    	5.500000	2.02695   	
6.000000	136.421   	6.000000	135.437   	6.000000	135.056   	6.000000	135.056   	6.000000	135.056   	6.000000	1.14574   	6.000000	0.800947  	6.000000	2.41305   	6.000000	2.65606   	6.000000	2.27959   	
6.500000	155.401   	6.500000	154.328   	6.500000	153.733   	6.500000	153.733   	6.500000	153.733   	6.500000	1.31164   	6.500000	0.906027  	6.500000	2.69152   	6.500000	2.93981   	6.500000	2.54725   	
7.000000	175.498   	7.000000	174.296   	7.000000	173.494   	7.000000	173.494   	7.000000	173.494   	7.000000	1.48789   	7.000000	1.01622   	7.000000	2.98517   	7.000000	3.23736   	7.000000	2.82971   	
7.500000	196.702   	7.500000	195.326   	7.500000	194.324   	7.500000	194.324   	7.500000	194.324   	7.500000	1.67435   	7.500000	1.13141   	7.500000	3.29376   	7.500000	3.5484    	7.500000	3.12676   	
8.000000	219       	8.000000	217.404   	8.000000	216.21    	8.000000	216.21    	8.000000	216.21    	8.000000	1.87086   	8.000000	1.25149   	8.000000	3.61708   	8.000000	3.87266   	8.000000	3.4382    	
8.500000	242.381   	8.500000	240.517   	8.500000	239.14    	8.500000	239.14    	8.500000	239.14    	8.500000	2.07729   	8.500000	1.37637   	8.500000	3.95494   	8.500000	4.20991   	8.500000	3.76384   	
9.000000	266.835   	9.000000	264.653   	9.000000	263.101   	9.000000	263.101   	9.000000	263.101   	9.000000	2.29352   	9.000000	1.50597   	9.000000	4.30715   	9.000000	4.55992   	9.000000	4.10351   	
9.500000	292.352   	9.500000	289.801   	9.500000	288.082   	9.500000	288.082   	9.500000	288.082   	9.500000	2.51942   	9.500000	1.64017   	9.500000	4.67354   	9.500000	4.92249   	9.500000	4.45705   	
10.000000	318.923   	10.000000	315.946   	10.000000	314.074   	10.000000	314.074   	10.000000	314.074   	10.000000	2.75491   	10.000000	1.77889   	10.000000	5.05395   	10.000000	5.29741   	10.000000	4.82431   	
11.000000	375.189   	11.000000	370.972   	11.000000	369.095   	11.000000	369.084   	11.000000	369.093   	11.000000	3.25538   	11.000000	2.07029   	11.000000	5.85705   	11.000000	6.0844    	11.000000	5.60023   	
12.000000	435.566   	12.000000	429.921   	12.000000	428.149   	12.000000	428.11    	12.000000	428.145   	12.000000	3.79553   	12.000000	2.38059   	12.000000	6.71645   	12.000000	6.9206    	12.000000	6.4313    	
13.000000	499.991   	13.000000	492.754   	13.000000	491.19    	13.000000	491.108   	13.000000	491.182   	13.000000	4.37495   	13.000000	2.70945   	13.000000	7.63158   	13.000000	7.80523   	13.000000	7.31699   	
14.000000	568.407   	14.000000	559.434   	14.000000	558.177   	14.000000	558.037   	14.000000	558.166   	14.000000	4.99335   	14.000000	3.05651   	14.000000	8.60195   	14.000000	8.73763   	14.000000	8.25687   	
15.000000	640.759   	15.000000	629.926   	15.000000	629.075   	15.000000	628.866   	15.000000	629.06    	15.000000	5.65051   	15.000000	3.42172   	15.000000	9.62717   	15.000000	9.71723   	15.000000	9.25059   	
16.000000	716.997   	16.000000	704.192   	16.000000	703.853   	16.000000	703.564   	16.000000	703.835   	16.000000	6.34623   	16.000000	3.80499   	16.000000	10.7069   	16.000000	10.7436   	16.000000	10.2979   	
17.000000	797.072   	17.000000	782.2     	17.000000	782.483   	17.000000	782.105   	17.000000	782.462   	17.000000	7.08039   	17.000000	4.20603   	17.000000	11.8408   	17.000000	11.8162   	17.000000	11.3984   	
18.000000	880.94    	18.000000	863.915   	18.000000	864.938   	18.000000	864.467   	18.000000	864.917   	18.000000	7.8529    	18.000000	4.62467   	18.000000	13.0288   	18.000000	12.9347   	18.000000	12.5521   	
19.000000	968.558   	19.000000	949.306   	19.000000	951.199   	19.000000	950.629   	19.000000	951.178   	19.000000	8.66366   	19.000000	5.06087   	19.000000	14.2705   	19.000000	14.0988   	19.000000	13.7586   	
20.000000	1059.88   	20.000000	1038.34   	20.000000	1041.25   	20.000000	1040.57   	20.000000	1041.23   	20.000000	9.51265   	20.000000	5.51457   	20.000000	15.5657   	20.000000	15.3082   	20.000000	15.018    	
21.000000	1154.88   	21.000000	1130.99   	21.000000	1135.07   	21.000000	1134.28   	21.000000	1135.04   	21.000000	10.3998   	21.000000	5.98572   	21.000000	16.9145   	21.000000	16.5627   	21.000000	16.3301   	
22.000000	1253.51   	22.000000	1227.22   	22.000000	1232.64   	22.000000	1231.74   	22.000000	1232.61   	22.000000	11.3251   	22.000000	6.47425   	22.000000	18.3166   	22.000000	17.862    	22.000000	17.6947   	
23.000000	1355.73   	23.000000	1327      	23.000000	1333.95   	23.000000	1332.94   	23.000000	1333.92   	23.000000	12.2885   	23.000000	6.98014   	23.000000	19.7718   	23.000000	19.2059   	23.000000	19.1119   	
24.000000	1461.52   	24.000000	1430.31   	24.000000	1438.98   	24.000000	1437.86   	24.000000	1438.94   	24.000000	13.2901   	24.000000	7.50334   	24.000000	21.2802   	24.000000	20.5942   	24.000000	20.5816   	
25.000000	1570.84   	25.000000	1537.12   	25.000000	1547.72   	25.000000	1546.49   	25.000000	1547.68   	25.000000	14.3297   	25.000000	8.04384   	25.000000	22.8416   	25.000000	22.0268   	25.000000	22.1036   	
27.000000	1799.93   	27.000000	1761.14   	27.000000	1776.29   	27.000000	1774.84   	27.000000	1776.24   	27.000000	16.5232   	27.000000	9.17653   	27.000000	26.1232   	27.000000	25.0241   	27.000000	25.3048   	
29.000000	2042.77   	29.000000	1998.84   	29.000000	2019.55   	29.000000	2017.92   	29.000000	2019.5    	29.000000	18.8689   	29.000000	10.378    	29.000000	29.6159   	29.000000	28.1965   	29.000000	28.7151   	
31.000000	2299.14   	31.000000	2250.04   	31.000000	2277.29   	31.000000	2275.5    	31.000000	2277.23   	31.000000	21.3627   	31.000000	11.6461   	31.000000	33.3167   	31.000000	31.5409   	31.000000	32.332    	
