! 12B range in Si
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
0.001000	0.0612565 	0.001000	0.0612565 	0.001000	0.0559346 	0.001000	0.0559346 	0.001000	0.0559436 	0.001000	0         	0.001000	0         	0.001000	0.000824897	0.001000	0.00132664	0.001000	0.000619781	
0.002000	0.124721  	0.002000	0.122513  	0.002000	0.111869  	0.002000	0.111869  	0.002000	0.111887  	0.002000	0.0073711 	0.002000	0.0073711 	0.002000	0.00241569	0.002000	0.00375321	0.002000	0.00188779	
0.005000	0.28994   	0.005000	0.281985  	0.005000	0.257598  	0.005000	0.257598  	0.005000	0.257627  	0.005000	0.00878816	0.005000	0.00878816	0.005000	0.00873035	0.005000	0.0130803 	0.005000	0.00707283	
0.008000	0.43325   	0.008000	0.42031   	0.008000	0.384637  	0.008000	0.384637  	0.008000	0.384672  	0.008000	0.00885219	0.008000	0.00885219	0.008000	0.0162086 	0.008000	0.0238554 	0.008000	0.0133417 	
0.010000	0.520804  	0.010000	0.504818  	0.010000	0.462593  	0.010000	0.462593  	0.010000	0.46263   	0.010000	0.00908016	0.010000	0.00908016	0.010000	0.0215515 	0.010000	0.0314605 	0.010000	0.0178629 	
0.015000	0.719692  	0.015000	0.696787  	0.015000	0.640809  	0.015000	0.640809  	0.015000	0.640849  	0.015000	0.0102632 	0.015000	0.0102632 	0.015000	0.0356362 	0.015000	0.0512868 	0.015000	0.0298799 	
0.020000	0.885017  	0.020000	0.856362  	0.020000	0.793958  	0.020000	0.793958  	0.020000	0.794     	0.020000	0.0116332 	0.020000	0.0116332 	0.020000	0.0495286 	0.020000	0.0706943 	0.020000	0.0417973 	
0.025000	1.02307   	0.025000	0.989616  	0.025000	0.925993  	0.025000	0.925993  	0.025000	0.926036  	0.025000	0.0128222 	0.025000	0.0128222 	0.025000	0.0626808 	0.025000	0.0889967 	0.025000	0.0531105 	
0.030000	1.14243   	0.030000	1.10482   	0.030000	1.04301   	0.030000	1.04301   	0.030000	1.04305   	0.030000	0.0138245 	0.030000	0.0138245 	0.030000	0.0751955 	0.030000	0.106352  	0.030000	0.0639013 	
0.035000	1.24844   	0.035000	1.20715   	0.035000	1.14928   	0.035000	1.14928   	0.035000	1.14932   	0.035000	0.014685  	0.035000	0.014685  	0.035000	0.0872338 	0.035000	0.122992  	0.035000	0.0743053 	
0.040000	1.3452    	0.040000	1.30053   	0.040000	1.24718   	0.040000	1.24718   	0.040000	1.24723   	0.040000	0.0154319 	0.040000	0.0154319 	0.040000	0.0988676 	0.040000	0.139028  	0.040000	0.0843793 	
0.045000	1.43502   	0.045000	1.38723   	0.045000	1.33845   	0.045000	1.33845   	0.045000	1.33849   	0.045000	0.01609   	0.045000	0.01609   	0.045000	0.110169  	0.045000	0.154564  	0.045000	0.0941833 	
0.050000	1.51944   	0.050000	1.46872   	0.050000	1.42436   	0.050000	1.42436   	0.050000	1.42441   	0.050000	0.0166786 	0.050000	0.0165115 	0.050000	0.120232  	0.050000	0.168362  	0.050000	0.102928  	
0.055000	1.59962   	0.055000	1.5461    	0.055000	1.50591   	0.055000	1.50591   	0.055000	1.50596   	0.055000	0.0172125 	0.055000	0.0168017 	0.055000	0.128587  	0.055000	0.179603  	0.055000	0.1102    	
0.060000	1.67641   	0.060000	1.62023   	0.060000	1.58387   	0.060000	1.58387   	0.060000	1.58391   	0.060000	0.0177032 	0.060000	0.0170692 	0.060000	0.135772  	0.060000	0.189159  	0.060000	0.116465  	
0.070000	1.8224    	0.070000	1.76114   	0.070000	1.7313    	0.070000	1.7313    	0.070000	1.73134   	0.070000	0.0185879 	0.070000	0.0175551 	0.070000	0.147854  	0.070000	0.204948  	0.070000	0.127025  	
0.080000	1.96128   	0.080000	1.89518   	0.080000	1.87026   	0.080000	1.87026   	0.080000	1.8703    	0.080000	0.0193823 	0.080000	0.0179966 	0.080000	0.157776  	0.080000	0.217704  	0.080000	0.135726  	
0.090000	2.0955    	0.090000	2.02474   	0.090000	2.00319   	0.090000	2.00319   	0.090000	2.00324   	0.090000	0.0201177 	0.090000	0.0184105 	0.090000	0.16627   	0.090000	0.228518  	0.090000	0.1432    	
0.100000	2.2267    	0.100000	2.15137   	0.100000	2.13181   	0.100000	2.13181   	0.100000	2.13185   	0.100000	0.0208147 	0.100000	0.0188079 	0.100000	0.173786  	0.100000	0.238017  	0.100000	0.149832  	
0.120000	2.48401   	0.120000	2.39973   	0.120000	2.38063   	0.120000	2.38063   	0.120000	2.38067   	0.120000	0.0221445 	0.120000	0.019581  	0.120000	0.186887  	0.120000	0.254446  	0.120000	0.161442  	
0.140000	2.73751   	0.140000	2.64441   	0.140000	2.62309   	0.140000	2.62309   	0.140000	2.62314   	0.140000	0.0234398 	0.140000	0.0203526 	0.140000	0.198163  	0.140000	0.268469  	0.140000	0.171489  	
0.160000	2.98902   	0.160000	2.88718   	0.160000	2.86275   	0.160000	2.86275   	0.160000	2.86279   	0.160000	0.0247347 	0.160000	0.0211414 	0.160000	0.20829   	0.160000	0.280979  	0.160000	0.180556  	
0.180000	3.24008   	0.180000	3.1295    	0.180000	3.1016    	0.180000	3.1016    	0.180000	3.10164   	0.180000	0.0260463 	0.180000	0.0219566 	0.180000	0.21777   	0.180000	0.292591  	0.180000	0.189075  	
0.200000	3.49147   	0.200000	3.37214   	0.200000	3.34081   	0.200000	3.34081   	0.200000	3.34085   	0.200000	0.0273821 	0.200000	0.0228022 	0.200000	0.226543  	0.200000	0.303289  	0.200000	0.196994  	
0.250000	4.12205   	0.250000	3.98079   	0.250000	3.94405   	0.250000	3.94405   	0.250000	3.94409   	0.250000	0.0308382 	0.250000	0.02505   	0.250000	0.247024  	0.250000	0.327941  	0.250000	0.215575  	
0.300000	4.75556   	0.300000	4.59227   	0.300000	4.5574    	0.300000	4.5574    	0.300000	4.55745   	0.300000	0.0344432 	0.300000	0.0274665 	0.300000	0.265889  	0.300000	0.350279  	0.300000	0.23281   	
0.350000	5.39079   	0.350000	5.2054    	0.350000	5.18172   	0.350000	5.18172   	0.350000	5.18177   	0.350000	0.0381632 	0.350000	0.0300157 	0.350000	0.283766  	0.350000	0.371146  	0.350000	0.249225  	
0.400000	6.02783   	0.400000	5.82027   	0.400000	5.81352   	0.400000	5.81352   	0.400000	5.81357   	0.400000	0.0419107 	0.400000	0.0326245 	0.400000	0.300876  	0.400000	0.39082   	0.400000	0.265001  	
0.450000	6.66294   	0.450000	6.4333    	0.450000	6.45159   	0.450000	6.45159   	0.450000	6.45164   	0.450000	0.0456554 	0.450000	0.0352606 	0.450000	0.317222  	0.450000	0.40938   	0.450000	0.280137  	
0.500000	7.29928   	0.500000	7.0475    	0.500000	7.09729   	0.500000	7.09729   	0.500000	7.09734   	0.500000	0.0494169 	0.500000	0.037929  	0.500000	0.333201  	0.500000	0.427269  	0.500000	0.294975  	
0.600000	8.57586   	0.600000	8.27967   	0.600000	8.41554   	0.600000	8.41554   	0.600000	8.41558   	0.600000	0.0570471 	0.600000	0.0433795 	0.600000	0.36408   	0.600000	0.461447  	0.600000	0.32378   	
0.700000	9.87216   	0.700000	9.53088   	0.700000	9.77656   	0.700000	9.77656   	0.700000	9.7766    	0.700000	0.0649246 	0.700000	0.04903   	0.700000	0.394249  	0.700000	0.494456  	0.700000	0.352051  	
0.800000	11.2142   	0.800000	10.8262   	0.800000	11.1835   	0.800000	11.1835   	0.800000	11.1835   	0.800000	0.0730876 	0.800000	0.0548877 	0.800000	0.423983  	0.800000	0.526741  	0.800000	0.380015  	
0.900000	12.6095   	0.900000	12.173    	0.900000	12.6377   	0.900000	12.6377   	0.900000	12.6378   	0.900000	0.0815508 	0.900000	0.0609495 	0.900000	0.453492  	0.900000	0.558613  	0.900000	0.407845  	
1.000000	14.0604   	1.000000	13.5734   	1.000000	14.1402   	1.000000	14.1402   	1.000000	14.1403   	1.000000	0.0903265 	1.000000	0.0672145 	1.000000	0.482961  	1.000000	0.590284  	1.000000	0.4357    	
1.250000	17.9409   	1.250000	17.3189   	1.250000	18.115    	1.250000	18.115    	1.250000	18.115    	1.250000	0.113747  	1.250000	0.0839877 	1.250000	0.557007  	1.250000	0.669426  	1.250000	0.505898  	
1.500000	22.1884   	1.500000	21.4187   	1.500000	22.4214   	1.500000	22.4214   	1.500000	22.4214   	1.500000	0.139589  	1.500000	0.103357  	1.500000	0.63275   	1.500000	0.749827  	1.500000	0.577933  	
1.750000	26.8269   	1.750000	25.8959   	1.750000	27.0563   	1.750000	27.0563   	1.750000	27.0563   	1.750000	0.167775  	1.750000	0.124823  	1.750000	0.710689  	1.750000	0.83212   	1.750000	0.652227  	
2.000000	31.8495   	2.000000	30.7437   	2.000000	32.0157   	2.000000	32.0157   	2.000000	32.0157   	2.000000	0.198251  	2.000000	0.147982  	2.000000	0.791133  	2.000000	0.916666  	2.000000	0.729042  	
2.250000	37.2438   	2.250000	35.9504   	2.250000	37.2976   	2.250000	37.2976   	2.250000	37.2976   	2.250000	0.231009  	2.250000	0.172635  	2.250000	0.862802  	2.250000	1.00372   	2.250000	0.797735  	
2.500000	42.9974   	2.500000	41.507    	2.500000	42.9006   	2.500000	42.9006   	2.500000	42.9007   	2.500000	0.266054  	2.500000	0.198675  	2.500000	0.929446  	2.500000	1.09338   	2.500000	0.861754  	
3.000000	55.0554   	3.000000	53.6814   	3.000000	55.0649   	3.000000	55.0649   	3.000000	55.0649   	3.000000	0.343027  	3.000000	0.254679  	3.000000	1.07379   	3.000000	1.2569    	3.000000	1.00035   	
3.500000	68.4264   	3.500000	67.2231   	3.500000	68.4969   	3.500000	68.4969   	3.500000	68.4969   	3.500000	0.429181  	3.500000	0.31572   	3.500000	1.23248   	3.500000	1.4239    	3.500000	1.15274   	
4.000000	83.096    	4.000000	82.0713   	4.000000	83.1828   	4.000000	83.1828   	4.000000	83.1828   	4.000000	0.524468  	4.000000	0.381641  	4.000000	1.40513   	4.000000	1.60443   	4.000000	1.31864   	
4.500000	99.0489   	4.500000	98.1857   	4.500000	99.1075   	4.500000	99.1075   	4.500000	99.1075   	4.500000	0.628801  	4.500000	0.452274  	4.500000	1.59142   	4.500000	1.79795   	4.500000	1.49777   	
5.000000	116.27    	5.000000	115.537   	5.000000	116.255   	5.000000	116.255   	5.000000	116.255   	5.000000	0.742071  	5.000000	0.527477  	5.000000	1.79108   	5.000000	2.004     	5.000000	1.68991   	
5.500000	134.745   	5.500000	134.101   	5.500000	134.61    	5.500000	134.61    	5.500000	134.61    	5.500000	0.86416   	5.500000	0.607139  	5.500000	2.00379   	5.500000	2.22217   	5.500000	1.89476   	
6.000000	154.459   	6.000000	153.858   	6.000000	154.158   	6.000000	154.158   	6.000000	154.158   	6.000000	0.994955  	6.000000	0.69116   	6.000000	2.22937   	6.000000	2.45218   	6.000000	2.11216   	
6.500000	175.399   	6.500000	174.791   	6.500000	174.883   	6.500000	174.883   	6.500000	174.883   	6.500000	1.13434   	6.500000	0.779442  	6.500000	2.46758   	6.500000	2.69369   	6.500000	2.34189   	
7.000000	197.552   	7.000000	196.884   	7.000000	196.771   	7.000000	196.771   	7.000000	196.771   	7.000000	1.28221   	7.000000	0.871897  	7.000000	2.71823   	7.000000	2.94649   	7.000000	2.58379   	
7.500000	220.907   	7.500000	220.122   	7.500000	219.811   	7.500000	219.811   	7.500000	219.81    	7.500000	1.43847   	7.500000	0.968445  	7.500000	2.98115   	7.500000	3.21032   	7.500000	2.83768   	
8.000000	245.452   	8.000000	244.493   	8.000000	243.988   	8.000000	243.988   	8.000000	243.987   	8.000000	1.60301   	8.000000	1.06901   	8.000000	3.25619   	8.000000	3.48499   	8.000000	3.10343   	
8.500000	271.175   	8.500000	269.982   	8.500000	269.291   	8.500000	269.291   	8.500000	269.29    	8.500000	1.77574   	8.500000	1.17353   	8.500000	3.54318   	8.500000	3.77031   	8.500000	3.38089   	
9.000000	298.066   	9.000000	296.579   	9.000000	295.708   	9.000000	295.708   	9.000000	295.708   	9.000000	1.95658   	9.000000	1.28194   	9.000000	3.842     	9.000000	4.06611   	9.000000	3.66993   	
9.500000	326.116   	9.500000	324.272   	9.500000	323.231   	9.500000	323.231   	9.500000	323.23    	9.500000	2.14545   	9.500000	1.39418   	9.500000	4.15252   	9.500000	4.37224   	9.500000	3.97044   	
10.000000	355.313   	10.000000	353.046   	10.000000	351.847   	10.000000	351.847   	10.000000	351.847   	10.000000	2.34227   	10.000000	1.51022   	10.000000	4.47461   	10.000000	4.68854   	10.000000	4.28231   	
11.000000	417.117   	11.000000	413.562   	11.000000	412.373   	11.000000	412.356   	11.000000	412.369   	11.000000	2.7604    	11.000000	1.75394   	11.000000	5.15374   	11.000000	5.35173   	11.000000	4.94031   	
12.000000	483.407   	12.000000	478.343   	12.000000	477.281   	12.000000	477.214   	12.000000	477.268   	12.000000	3.21151   	12.000000	2.01326   	12.000000	5.87946   	12.000000	6.05553   	12.000000	5.64403   	
13.000000	554.118   	13.000000	547.353   	13.000000	546.526   	13.000000	546.382   	13.000000	546.501   	13.000000	3.6954    	13.000000	2.28801   	13.000000	6.6514    	13.000000	6.79938   	13.000000	6.39316   	
14.000000	629.189   	14.000000	620.557   	14.000000	620.071   	14.000000	619.823   	14.000000	620.033   	14.000000	4.21187   	14.000000	2.57816   	14.000000	7.46926   	14.000000	7.58284   	14.000000	7.18742   	
15.000000	708.562   	15.000000	697.917   	15.000000	697.882   	15.000000	697.508   	15.000000	697.828   	15.000000	4.76079   	15.000000	2.88349   	15.000000	8.33279   	15.000000	8.40549   	15.000000	8.02659   	
16.000000	792.184   	16.000000	779.399   	16.000000	779.928   	16.000000	779.407   	16.000000	779.86    	16.000000	5.34205   	16.000000	3.20376   	16.000000	9.24176   	16.000000	9.267     	16.000000	8.91049   	
17.000000	880.003   	17.000000	864.967   	17.000000	866.184   	17.000000	865.497   	17.000000	866.099   	17.000000	5.95555   	17.000000	3.53891   	17.000000	10.196    	17.000000	10.167    	17.000000	9.83892   	
18.000000	971.971   	18.000000	954.587   	18.000000	956.624   	18.000000	955.755   	18.000000	956.523   	18.000000	6.60123   	18.000000	3.88896   	18.000000	11.1952   	18.000000	11.1053   	18.000000	10.8118   	
19.000000	1068.04   	19.000000	1048.22   	19.000000	1051.22   	19.000000	1050.16   	19.000000	1051.11   	19.000000	7.27901   	19.000000	4.25395   	19.000000	12.2394   	19.000000	12.0816   	19.000000	11.829    	
20.000000	1168.17   	20.000000	1145.85   	20.000000	1149.97   	20.000000	1148.7    	20.000000	1149.84   	20.000000	7.98887   	20.000000	4.63377   	20.000000	13.3285   	20.000000	13.0957   	20.000000	12.8904   	
21.000000	1272.32   	21.000000	1247.42   	21.000000	1252.83   	21.000000	1251.35   	21.000000	1252.69   	21.000000	8.73077   	21.000000	5.02824   	21.000000	14.4622   	21.000000	14.1474   	21.000000	13.9959   	
22.000000	1380.44   	22.000000	1352.92   	22.000000	1359.8    	22.000000	1358.1    	22.000000	1359.65   	22.000000	9.50468   	22.000000	5.43728   	22.000000	15.6406   	22.000000	15.2365   	22.000000	15.1456   	
23.000000	1492.5    	23.000000	1462.3    	23.000000	1470.86   	23.000000	1468.93   	23.000000	1470.7    	23.000000	10.3106   	23.000000	5.8609    	23.000000	16.8635   	23.000000	16.3629   	23.000000	16.3393   	
